Month,Year,Department,Total_Count,Nationality
Oct,2019,PROJECTS,2,Expat,
Oct,2019,PURCHASE,1,Omani,
Nov,2019,Labour,2,Expat,
Dec,2019,Labour,1,Expat,
Jan,2020,ADMINISTRATION,2,Expat,
Jan,2020,Labour,1,Expat,
Jan,2020,MECHANICAL WORKSHOP,2,Expat,
Feb,2020,ADMINISTRATION,4,Omani,
Feb,2020,Labour,1,Expat,
Feb,2020,QS POST TENDER,1,Expat,
Mar,2020,ADMINISTRATION,2,Omani,
Mar,2020,FMT,1,Omani,
Mar,2020,PROJECTS,1,Omani,
Jul,2020,ADMINISTRATION,1,Expat,
Jul,2020,ADMINISTRATION,1,Omani,
Jul,2020,PROJECTS,1,Expat,
Aug,2020,ADMINISTRATION,1,Expat,
Sep,2020,ADMINISTRATION,1,Expat,
Sep,2020,PMV,1,Expat,
Oct,2020,ADMINISTRATION,3,Expat,
Oct,2020,FINANCE,2,Expat,
Oct,2020,FMT,1,Omani,
Nov,2020,ADMINISTRATION,1,Omani,
Nov,2020,INSIGHT,1,Expat,
Nov,2020,PROJECTS,1,Expat,
Dec,2020,ADMINISTRATION,4,Expat,
Dec,2020,AIRPORT,3,Expat,
Dec,2020,CAD,1,Omani,
Dec,2020,FMT,1,Omani,
Dec,2020,INSIGHT,1,Omani,
Dec,2020,IT,1,Expat,
Dec,2020,MEDICAL,1,Expat,
Dec,2020,PMV,1,Omani,
Dec,2020,PROJECTS,1,Expat,
Jan,2021,ADMINISTRATION & GENERAL,1,Omani,
Jan,2021,AIRPORT,1,Omani,
Jan,2021,FMT,2,Expat,
Jan,2021,Labour,1,Expat,
Feb,2021,ADMINISTRATION,1,Omani,
Feb,2021,FMT,3,Omani,
Feb,2021,Labour,17,Expat,
Feb,2021,MEDICAL,2,Expat,
Feb,2021,MEDICAL,2,Omani,
Feb,2021,MW,1,Expat,
Feb,2021,SITE,1,Expat,
Mar,2021,ADRAK CUTTING & BENDING,1,Expat,
Mar,2021,CIVIL,1,Expat,
Mar,2021,Labour,8,Expat,
Mar,2021,MAS,1,Expat,
Mar,2021,MEDICAL,2,Expat,
Mar,2021,PMV,1,Expat,
Apr,2021,FMT,1,Omani,
Apr,2021,Labour,6,Expat,
Apr,2021,MEDICAL,1,Omani,
Apr,2021,NURSING,2,Expat,
Apr,2021,PROJECTS,1,Omani,
Apr,2021,SITE,1,Expat,
May,2021,ADMINISTRATION,1,Omani,
May,2021,CAD,1,Omani,
May,2021,CLAIMS & DOCUMENT CONTROL,1,Expat,
May,2021,FMT,1,Omani,
May,2021,NURSING,1,Expat,
Jun,2021,NURSING,2,Expat,
Jun,2021,QS PRE TENDER,1,Expat,
Jul,2021,ADMINISTRATION,2,Omani,
Jul,2021,FINANCE,1,Omani,
Jul,2021,GENERAL PRACTICE,1,Expat,
Jul,2021,MEDICAL,1,Expat,
Jul,2021,NURSING,2,Omani,
Aug,2021,FMT,1,Omani,
Aug,2021,NURSING,4,Expat,
Sep,2021,ADMINISTRATION,2,Omani,
Sep,2021,BATCHING PLANT,1,Expat,
Sep,2021,FINANCE,1,Omani,
Sep,2021,HVAC & MECHANICAL,1,Expat,
Sep,2021,Labour,3,Expat,
Sep,2021,MEDICAL,1,Expat,
Sep,2021,PROJECTS,1,Expat,
Sep,2021,QS POST TENDER,1,Omani,
Sep,2021,RADIOLOGY,1,Expat,
Oct,2021,ADMINISTRATION,1,Omani,
Oct,2021,AFW,1,Expat,
Oct,2021,AUDIT,1,Expat,
Oct,2021,CLAIMS & DOCUMENT CONTROL,1,Omani,
Oct,2021,CONTRACTS,1,Expat,
Oct,2021,FABRICATION,1,Expat,
Oct,2021,FMT,1,Expat,
Oct,2021,HYDROPONICS,1,Expat,
Oct,2021,Labour,4,Expat,
Oct,2021,NURSING,1,Expat,
Oct,2021,PROJECTS,1,Expat,
Nov,2021,AFW,1,Expat,
Nov,2021,ANESTHESIA,1,Expat,
Nov,2021,FACILITY MANAGEMENT,1,Expat,
Nov,2021,FINANCE,1,Expat,
Nov,2021,FMT,3,Expat,
Nov,2021,HUMAN RESOURCES,1,Expat,
Nov,2021,Labour,29,Expat,
Nov,2021,MEDICAL,1,Expat,
Nov,2021,NURSING,3,Expat,
Nov,2021,PROJECTS,2,Expat,
Nov,2021,PROJECTS,1,Omani,
Nov,2021,RADIOLOGY,1,Expat,
Nov,2021,RECEPTION,1,Omani,
Nov,2021,SITE,2,Expat,
Dec,2021,ADMINISTRATION,1,Omani,
Dec,2021,FMT,1,Expat,
Dec,2021,FMT,1,Omani,
Dec,2021,Labour,28,Expat,
Dec,2021,TRANSPORT,1,Omani,
Jan,2022,ADMINISTRATION,1,Omani,
Jan,2022,AUDIT,1,Expat,
Jan,2022,Labour,18,Expat,
Jan,2022,MECHANICAL WORKSHOP,7,Expat,
Jan,2022,MEDICAL,1,Omani,
Jan,2022,POST TENSION,1,Expat,
Feb,2022,FINANCE,1,Expat,
Feb,2022,FMT,2,Expat,
Feb,2022,FMT,1,Omani,
Feb,2022,HSE,1,Omani,
Feb,2022,Labour,53,Expat,
Feb,2022,MEDICAL,1,Expat,
Feb,2022,PMV,1,Omani,
Mar,2022,ADMINISTRATION,2,Omani,
Mar,2022,FINANCE,1,Omani,
Mar,2022,FMT,1,Omani,
Mar,2022,Labour,104,Expat,
Mar,2022,OPERATIONS,1,Expat,
Mar,2022,PHARMACY,1,Expat,
Mar,2022,PROJECTS,1,Omani,
Mar,2022,PURCHASE,1,Omani,
Mar,2022,TRANSPORT,1,Omani,
