COMPANY,NATIONALITY,YEAR,MONTH,MM,STRENGTH
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,OMANI,2024,NOVEMBER ,11,58
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PAKISTAN,2024,NOVEMBER ,11,2
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,PHILIPPINE,2024,NOVEMBER ,11,4
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SRILENKAN,2024,NOVEMBER ,11,1
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SUDANI,2024,NOVEMBER ,11,7
ADRAK INTERNATIONAL MULTI-SPECIALTY HOSPITAL LLC,SYRIAN,2024,NOVEMBER ,11,5
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2024,NOVEMBER ,11,602
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2024,NOVEMBER ,11,"1,746"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,IRAQ,2024,NOVEMBER ,11,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,NEPAL,2024,NOVEMBER ,11,9
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2024,NOVEMBER ,11,330
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2024,NOVEMBER ,11,1
AL KHAITH INDUSTRIES AND SERVICES SPC,BANGLADESH,2024,NOVEMBER ,11,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2024,NOVEMBER ,11,32
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2024,NOVEMBER ,11,4
AL RASD CONSTRUCTION SPC,BANGLADESH,2024,NOVEMBER ,11,11
AL RASD CONSTRUCTION SPC,INDIAN,2024,NOVEMBER ,11,23
AL RASD CONSTRUCTION SPC,OMANI,2024,NOVEMBER ,11,5
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,INDIAN,2024,NOVEMBER ,11,7
APEX ACCOUNTANCY CONSULTANTS AND SERVICES,OMANI,2024,NOVEMBER ,11,7
BEYOND TECH LLC,INDIAN,2024,NOVEMBER ,11,1
BEYOND TECH LLC,OMANI,2024,NOVEMBER ,11,1
BOLD POINT CONSTRUCTION,BANGLADESH,2024,NOVEMBER ,11,9
BOLD POINT CONSTRUCTION,INDIAN,2024,NOVEMBER ,11,48
BOLD POINT CONSTRUCTION,NEPAL,2024,NOVEMBER ,11,16
BOLD POINT CONSTRUCTION,OMANI,2024,NOVEMBER ,11,12
HIGH-END BUSINESS SERVICES,INDIAN,2024,NOVEMBER ,11,3
HIGH-END BUSINESS SERVICES,OMANI,2024,NOVEMBER ,11,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,BANGLADESH,2024,NOVEMBER ,11,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2024,NOVEMBER ,11,23
INFORMATION TECHNOLOGY SOLUTIONS SPC,OMANI,2024,NOVEMBER ,11,11
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2024,NOVEMBER ,11,31
INSIGHT ENGINEERING CONSULTANTS,IRAN,2024,NOVEMBER ,11,1
INSIGHT ENGINEERING CONSULTANTS,OMANI,2024,NOVEMBER ,11,12
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,BANGLADESH,2024,NOVEMBER ,11,7
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,INDIAN,2024,NOVEMBER ,11,42
KHALIL ABDULLAH YUSEF AL BALUSHI TRADING LLC,OMANI,2024,NOVEMBER ,11,12
MUSCAT LIGHTS TECHNOLOGIES AND BUSINESS SPC,OMANI,2024,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,BANGLADESH,2024,NOVEMBER ,11,2
NEW ROTANA ENTERPRISES LLC,EGYPTION,2024,NOVEMBER ,11,3
NEW ROTANA ENTERPRISES LLC,INDIAN,2024,NOVEMBER ,11,11
NEW ROTANA ENTERPRISES LLC,INDONESIAN,2024,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,JORDANI,2024,NOVEMBER ,11,2
NEW ROTANA ENTERPRISES LLC,LEBANESE,2024,NOVEMBER ,11,2
NEW ROTANA ENTERPRISES LLC,MOROCCAN,2024,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,NIGERIAN,2024,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,OMANI,2024,NOVEMBER ,11,13
NEW ROTANA ENTERPRISES LLC,PHILIPPINE,2024,NOVEMBER ,11,2
NEW ROTANA ENTERPRISES LLC,SOUTH AFRICAN,2024,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,TUNISIAN,2024,NOVEMBER ,11,1
SILVER OASIS BUSINESS AND SERVICES,BANGLADESH,2024,NOVEMBER ,11,9
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2024,NOVEMBER ,11,47
SILVER OASIS BUSINESS AND SERVICES,OMANI,2024,NOVEMBER ,11,6
THANVEER CONCRETE AND STONE PRODUCTS SPC,INDIAN,2024,NOVEMBER ,11,4
THANVEER CONCRETE AND STONE PRODUCTS SPC,OMANI,2024,NOVEMBER ,11,1
THOMAS ALEXANDER,BANGLADESH,2024,NOVEMBER ,11,4
THOMAS ALEXANDER,INDIAN,2024,NOVEMBER ,11,4
THOMAS ALEXANDER,OMANI,2024,NOVEMBER ,11,1
THOMAS ALEXANDER,PHILIPPINE,2024,NOVEMBER ,11,4
TRUFUD TRADING,BANGLADESH,2024,NOVEMBER ,11,8
TRUFUD TRADING,EGYPTION,2024,NOVEMBER ,11,1
TRUFUD TRADING,INDIAN,2024,NOVEMBER ,11,3
TRUFUD TRADING,OMANI,2024,NOVEMBER ,11,1
ADRAK DEVELOPERS LLC,EGYPTION,2024,DECEMBER ,12,1
ADRAK DEVELOPERS LLC,INDIAN,2024,DECEMBER ,12,1
ADRAK DEVELOPERS LLC,OMANI,2024,DECEMBER ,12,1
ADRAK FACILITIES AND SERVICES LLC,BANGLADESH,2024,DECEMBER ,12,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2024,DECEMBER ,12,67
ADRAK FACILITIES AND SERVICES LLC,OMANI,2024,DECEMBER ,12,13
ADRAK FACILITIES AND SERVICES LLC,PAKISTAN,2024,DECEMBER ,12,2
ADRAK INTERNATIONAL MEDICAL SUPPLIES PHARMACY AND STORES LLC,BANGLADESH,2024,DECEMBER ,12,2
